time,position,velocity,torque,temp_mosfet,temp_rotor,status
1785583353.9288273,-0.2115281910429534,0.0769230769230802,0.1978021978021971,34,31,ENABLE
1785583353.933818,-0.21076523994811858,0.0769230769230802,0.25054945054944966,34,31,ENABLE
1785583353.9388287,-0.20962081330586635,0.1648351648351678,0.2681318681318672,34,31,ENABLE
1785583353.9438279,-0.2077134355687793,0.2967032967032992,0.23296703296703214,34,31,ENABLE
1785583353.948911,-0.20656900892652708,0.2747252747252773,0.1978021978021971,34,31,ENABLE
1785583353.9538395,-0.20656900892652708,0.0989010989011021,0.23296703296703214,34,31,ENABLE
1785583353.9591117,-0.20618753337910967,0.0769230769230802,0.27692307692307594,34,31,ENABLE
1785583353.9638143,-0.20504310673685744,0.1648351648351678,0.312087912087911,34,31,ENABLE
1785583353.9688773,-0.2038986800946052,0.1868131868131897,0.3296703296703285,34,31,ENABLE
1785583353.9738219,-0.2035172045471878,0.120879120879124,0.347252747252746,34,31,ENABLE
1785583353.978824,-0.20275425345235298,0.120879120879124,0.36483516483516354,34,31,ENABLE
1785583353.9838455,-0.20160982681010076,0.1648351648351678,0.38241758241758106,34,31,ENABLE
1785583353.9888246,-0.20008392462043112,0.2307692307692335,0.3736263736263723,34,31,ENABLE
1785583353.9938192,-0.1993209735255963,0.1868131868131897,0.36483516483516354,34,31,ENABLE
1785583353.998819,-0.19855802243076148,0.1648351648351678,0.3736263736263723,34,31,ENABLE
1785583354.003828,-0.19741359578850926,0.2087912087912116,0.3999999999999986,34,31,ENABLE
1785583354.0088325,-0.19588769359883962,0.2527472527472554,0.3999999999999986,34,31,ENABLE
1785583354.0138338,-0.1951247425040048,0.1868131868131897,0.3999999999999986,34,31,ENABLE
1785583354.0188243,-0.19398031586175257,0.2087912087912116,0.3999999999999986,34,31,ENABLE
1785583354.0238264,-0.19169146257724812,0.340659340659343,0.3999999999999986,34,31,ENABLE
1785583354.0288265,-0.1905470359349959,0.2747252747252773,0.3736263736263723,34,31,ENABLE
1785583354.033878,-0.18940260929274366,0.2527472527472554,0.3736263736263723,34,31,ENABLE
1785583354.0388768,-0.1871137560082392,0.3626373626373649,0.3736263736263723,34,31,ENABLE
1785583354.0438132,-0.1863508049134044,0.2087912087912116,0.38241758241758106,34,31,ENABLE
1785583354.0488906,-0.18520637827115216,0.2087912087912116,0.42637362637362486,34,31,ENABLE
1785583354.053888,-0.18329900053406512,0.3186813186813211,0.4351648351648336,34,31,ENABLE
1785583354.0588233,-0.1821545738918129,0.2747252747252773,0.4351648351648336,34,31,ENABLE
1785583354.0638285,-0.18062867170214325,0.2967032967032992,0.4439560439560424,34,31,ENABLE
1785583354.0688283,-0.1787212939650562,0.340659340659343,0.42637362637362486,34,31,ENABLE
1785583354.073826,-0.17719539177538657,0.2747252747252773,0.4175824175824161,34,31,ENABLE
1785583354.0788326,-0.1749065384908821,0.4065934065934087,0.40879120879120734,34,31,ENABLE
1785583354.0838296,-0.17376211184862989,0.2747252747252773,0.3999999999999986,34,31,ENABLE
1785583354.0888245,-0.17185473411154284,0.340659340659343,0.42637362637362486,34,31,ENABLE
1785583354.0938275,-0.16956588082703838,0.3846153846153868,0.3999999999999986,34,31,ENABLE
1785583354.098825,-0.16803997863736875,0.3186813186813211,0.40879120879120734,34,31,ENABLE
1785583354.1038265,-0.1661326009002817,0.3846153846153868,0.40879120879120734,34,31,ENABLE
1785583354.1088245,-0.16460669871061206,0.2967032967032992,0.40879120879120734,34,31,ENABLE
1785583354.1138296,-0.1619363698786902,0.4725274725274744,0.3912087912087898,34,31,ENABLE
1785583354.1188757,-0.16041046768902056,0.340659340659343,0.3912087912087898,34,31,ENABLE
1785583354.1238213,-0.15850308995193352,0.3846153846153868,0.3999999999999986,34,31,ENABLE
1785583354.128824,-0.15659571221484647,0.340659340659343,0.3912087912087898,34,31,ENABLE
1785583354.133828,-0.15430685893034202,0.4725274725274744,0.3999999999999986,34,31,ENABLE
1785583354.1388276,-0.15278095674067238,0.3186813186813211,0.40879120879120734,34,31,ENABLE
1785583354.1438282,-0.15049210345616792,0.4065934065934087,0.4175824175824161,34,31,ENABLE
1785583354.1488202,-0.14858472571908088,0.4065934065934087,0.3999999999999986,34,31,ENABLE
1785583354.1538267,-0.14667734798199383,0.3846153846153868,0.42637362637362486,34,31,ENABLE
1785583354.1588333,-0.1447699702449068,0.3846153846153868,0.40879120879120734,34,31,ENABLE
1785583354.1639137,-0.14248111696040233,0.4285714285714306,0.4175824175824161,34,31,ENABLE
1785583354.168895,-0.1409552147707327,0.3846153846153868,0.40879120879120734,34,31,ENABLE
